name,analysis,arg,file,parent
ObjCARCAAWrapperPass,True,objc-arc-aa,Analysis/ObjCARCAliasAnalysis.cpp,ImmutablePass
TypeBasedAAWrapperPass,True,tbaa,Analysis/TypeBasedAliasAnalysis.cpp,ImmutablePass
AssumptionCacheTracker,True,assumption-cache-tracker,Analysis/AssumptionCache.cpp,
BranchProbabilityInfoWrapperPass,True,branch-prob,Analysis/BranchProbabilityInfo.cpp,FunctionPass
ModuleSummaryIndexWrapperPass,True,module-summary-analysis,Analysis/ModuleSummaryAnalysis.cpp,ModulePass
RegionInfoPass,True,regions,Analysis/RegionInfo.cpp,FunctionPass
AAResultsWrapperPass,True,aa,Analysis/AliasAnalysis.cpp,FunctionPass
ExternalAAWrapperPass,True,external-aa,Analysis/AliasAnalysis.cpp,
LCSSAVerificationPass,False,lcssa-verification,Analysis/LoopPass.cpp,FunctionPass
MustExecutePrinter,True,print-mustexecute,Analysis/MustExecute.cpp,FunctionPass
CFLAndersAAWrapperPass,True,cfl-anders-aa,Analysis/CFLAndersAliasAnalysis.cpp,ImmutablePass
LoopAccessLegacyAnalysis,True,loop-accesses,Analysis/LoopAccessAnalysis.cpp,FunctionPass
IVUsersWrapperPass,True,iv-users,Analysis/IVUsers.cpp,LoopPass
ScalarEvolutionWrapperPass,True,scalar-evolution,Analysis/ScalarEvolution.cpp,FunctionPass
PostDominatorTreeWrapperPass,True,postdomtree,Analysis/PostDominators.cpp,FunctionPass
ModuleDebugInfoPrinter,True,module-debuginfo,Analysis/ModuleDebugInfoPrinter.cpp,ModulePass
CallGraphDOTPrinter,False,dot-callgraph,Analysis/CallPrinter.cpp,
CallGraphViewer,False,view-callgraph,Analysis/CallPrinter.cpp,
GlobalsAAWrapperPass,True,globals-aa,Analysis/GlobalsModRef.cpp,ModulePass
LoopInfoWrapperPass,True,loops,Analysis/LoopInfo.cpp,FunctionPass
CFLSteensAAWrapperPass,True,cfl-steens-aa,Analysis/CFLSteensAliasAnalysis.cpp,ImmutablePass
CostModelAnalysis,True,cost-model,Analysis/CostModel.cpp,FunctionPass
DummyCGSCCPass,False,DummyCGSCCPass,Analysis/CallGraphSCCPass.cpp,CallGraphSCCPass
Delinearization,True,delinearize,Analysis/Delinearization.cpp,FunctionPass
BasicAAWrapperPass,True,basicaa,Analysis/BasicAliasAnalysis.cpp,FunctionPass
DominanceFrontierWrapperPass,True,domfrontier,Analysis/DominanceFrontier.cpp,FunctionPass
BlockFrequencyInfoWrapperPass,True,block-freq,Analysis/BlockFrequencyInfo.cpp,FunctionPass
InstCount,True,instcount,Analysis/InstCount.cpp,FunctionPass
MemorySSAPrinterLegacyPass,False,print-memoryssa,Analysis/MemorySSA.cpp,FunctionPass
MemorySSAWrapperPass,True,memoryssa,Analysis/MemorySSA.cpp,FunctionPass
TargetTransformInfoWrapperPass,True,tti,Analysis/TargetTransformInfo.cpp,
LazyBlockFrequencyInfoPass,True,lazy-block-freq,Analysis/LazyBlockFrequencyInfo.cpp,FunctionPass
MemDepPrinter,True,print-memdeps,Analysis/MemDepPrinter.cpp,FunctionPass
AAEvalLegacyPass,True,aa-eval,Analysis/AliasAnalysisEvaluator.cpp,FunctionPass
CallGraphPrinterLegacyPass,True,print-callgraph,Analysis/CallGraph.cpp,ModulePass
CallGraphWrapperPass,True,basiccg,Analysis/CallGraph.cpp,ModulePass
ScopedNoAliasAAWrapperPass,True,scoped-noalias,Analysis/ScopedNoAliasAA.cpp,ImmutablePass
ProfileSummaryInfoWrapperPass,True,profile-summary-info,Analysis/ProfileSummaryInfo.cpp,ImmutablePass
LazyBranchProbabilityInfoPass,True,lazy-branch-prob,Analysis/LazyBranchProbabilityInfo.cpp,FunctionPass
PhiValuesWrapperPass,True,phi-values,Analysis/PhiValues.cpp,FunctionPass
AliasSetPrinter,True,print-alias-sets,Analysis/AliasSetTracker.cpp,FunctionPass
Lint,True,lint,Analysis/Lint.cpp,FunctionPass
RegionOnlyPrinter,True,dot-regions-only,Analysis/RegionPrinter.cpp,
RegionOnlyViewer,True,view-regions-only,Analysis/RegionPrinter.cpp,
RegionPrinter,True,dot-regions,Analysis/RegionPrinter.cpp,
RegionViewer,True,view-regions,Analysis/RegionPrinter.cpp,
OptimizationRemarkEmitterWrapperPass,True,opt-remark-emitter,Analysis/OptimizationRemarkEmitter.cpp,FunctionPass
DivergenceAnalysis,True,divergence,Analysis/DivergenceAnalysis.cpp,FunctionPass
TargetLibraryInfoWrapperPass,True,targetlibinfo,Analysis/TargetLibraryInfo.cpp,
LazyValueInfoPrinter,False,print-lazy-value-info,Analysis/LazyValueInfo.cpp,FunctionPass
LazyValueInfoWrapperPass,True,lazy-value-info,Analysis/LazyValueInfo.cpp,FunctionPass
CFGOnlyPrinterLegacyPass,True,dot-cfg-only,Analysis/CFGPrinter.cpp,FunctionPass
CFGOnlyViewerLegacyPass,True,view-cfg-only,Analysis/CFGPrinter.cpp,FunctionPass
CFGPrinterLegacyPass,True,dot-cfg,Analysis/CFGPrinter.cpp,FunctionPass
CFGViewerLegacyPass,True,view-cfg,Analysis/CFGPrinter.cpp,FunctionPass
DomOnlyPrinter,False,dot-dom-only,Analysis/DomPrinter.cpp,
DomOnlyViewer,False,view-dom-only,Analysis/DomPrinter.cpp,
DomPrinter,False,dot-dom,Analysis/DomPrinter.cpp,
DomViewer,False,view-dom,Analysis/DomPrinter.cpp,
PostDomOnlyPrinter,False,dot-postdom-only,Analysis/DomPrinter.cpp,
PostDomOnlyViewer,False,view-postdom-only,Analysis/DomPrinter.cpp,
PostDomPrinter,False,dot-postdom,Analysis/DomPrinter.cpp,
PostDomViewer,False,view-postdom,Analysis/DomPrinter.cpp,
MemoryDependenceWrapperPass,True,memdep,Analysis/MemoryDependenceAnalysis.cpp,FunctionPass
DependenceAnalysisWrapperPass,True,da,Analysis/DependenceAnalysis.cpp,FunctionPass
MemDerefPrinter,True,print-memderefs,Analysis/MemDerefPrinter.cpp,FunctionPass
SCEVAAWrapperPass,True,scev-aa,Analysis/ScalarEvolutionAliasAnalysis.cpp,FunctionPass
IntervalPartition,True,intervals,Analysis/IntervalPartition.cpp,FunctionPass
DemandedBitsWrapperPass,False,demanded-bits,Analysis/DemandedBits.cpp,FunctionPass
PrintBasicBlockPass,True,print-bb,IR/IRPrintingPasses.cpp,BasicBlockPass
PrintFunctionPassWrapper,True,print-function,IR/IRPrintingPasses.cpp,FunctionPass
PrintModulePassWrapper,True,print-module,IR/IRPrintingPasses.cpp,ModulePass
SafepointIRVerifier,False,verify-safepoint-ir,IR/SafepointIRVerifier.cpp,FunctionPass
DominatorTreeWrapperPass,True,domtree,IR/Dominators.cpp,FunctionPass
VerifierLegacyPass,False,verify,IR/Verifier.cpp,FunctionPass
InstructionCombiningPass,False,instcombine,Transforms/InstCombine/InstructionCombining.cpp,FunctionPass
SLPVectorizer,False,slp-vectorizer,Transforms/Vectorize/SLPVectorizer.cpp,FunctionPass
LoopVectorize,False,loop-vectorize,Transforms/Vectorize/LoopVectorize.cpp,FunctionPass
LoadStoreVectorizer,False,load-store-vectorizer,Transforms/Vectorize/LoadStoreVectorizer.cpp,FunctionPass
ForceFunctionAttrsLegacyPass,False,forceattrs,Transforms/IPO/ForceFunctionAttrs.cpp,
WriteThinLTOBitcode,True,write-thinlto-bitcode,Transforms/IPO/ThinLTOBitcodeWriter.cpp,ModulePass
GlobalSplit,False,globalsplit,Transforms/IPO/GlobalSplit.cpp,
PostOrderFunctionAttrsLegacyPass,False,functionattrs,Transforms/IPO/FunctionAttrs.cpp,CallGraphSCCPass
ReversePostOrderFunctionAttrsLegacyPass,False,rpo-functionattrs,Transforms/IPO/FunctionAttrs.cpp,ModulePass
IPSCCPLegacyPass,False,ipsccp,Transforms/IPO/SCCP.cpp,ModulePass
BlockExtractor,False,extract-blocks,Transforms/IPO/BlockExtractor.cpp,
FunctionImportLegacyPass,False,function-import,Transforms/IPO/FunctionImport.cpp,
SimpleInliner,False,inline,Transforms/IPO/InlineSimple.cpp,LegacyInlinerBase
SampleProfileLoaderLegacyPass,False,sample-profile,Transforms/IPO/SampleProfile.cpp,ModulePass
AlwaysInlinerLegacyPass,False,always-inline,Transforms/IPO/AlwaysInliner.cpp,
GlobalDCELegacyPass,False,globaldce,Transforms/IPO/GlobalDCE.cpp,
GlobalOptLegacyPass,False,globalopt,Transforms/IPO/GlobalOpt.cpp,ModulePass
CalledValuePropagationLegacyPass,False,called-value-propagation,Transforms/IPO/CalledValuePropagation.cpp,ModulePass
LowerTypeTests,False,lowertypetests,Transforms/IPO/LowerTypeTests.cpp,
StripDeadPrototypesLegacyPass,False,strip-dead-prototypes,Transforms/IPO/StripDeadPrototypes.cpp,
StripDeadDebugInfo,False,strip-dead-debug-info,Transforms/IPO/StripSymbols.cpp,ModulePass
StripDebugDeclare,False,strip-debug-declare,Transforms/IPO/StripSymbols.cpp,ModulePass
StripNonDebugSymbols,False,strip-nondebug,Transforms/IPO/StripSymbols.cpp,ModulePass
