name,link
ObjCARCAAWrapperPass,(all)
TypeBasedAAWrapperPass,(all)
BranchProbabilityInfoWrapperPass,(all)
ModuleSummaryIndexWrapperPass,(all)
RegionInfoPass,(all)
AAResultsWrapperPass,(all)
ExternalAAWrapperPass,(all)
LCSSAVerificationPass,(all)
MustExecutePrinter,(all)
CFLAndersAAWrapperPass,(all)
LoopAccessLegacyAnalysis,(all)
IVUsersWrapperPass,(all)
ScalarEvolutionWrapperPass,(all)
PostDominatorTreeWrapperPass,(all)
ModuleDebugInfoPrinter,(all)
GlobalsAAWrapperPass,(all)
LoopInfoWrapperPass,(all)
CFLSteensAAWrapperPass,(all)
CostModelAnalysis,(all)
DummyCGSCCPass,(all)
Delinearization,(all)
BasicAAWrapperPass,(all)
DominanceFrontierWrapperPass,(all)
BlockFrequencyInfoWrapperPass,(all)
InstCount,(all)
MemorySSAPrinterLegacyPass,(all)
MemorySSAWrapperPass,(all)
LazyBlockFrequencyInfoPass,(all)
MemDepPrinter,(all)
AAEvalLegacyPass,(all)
CallGraphPrinterLegacyPass,(all)
CallGraphWrapperPass,(all)
ScopedNoAliasAAWrapperPass,(all)
ProfileSummaryInfoWrapperPass,(all)
LazyBranchProbabilityInfoPass,(all)
PhiValuesWrapperPass,(all)
AliasSetPrinter,(all)
Lint,(all)
OptimizationRemarkEmitterWrapperPass,(all)
DivergenceAnalysis,(all)
LazyValueInfoPrinter,(all)
LazyValueInfoWrapperPass,(all)
CFGOnlyPrinterLegacyPass,(all)
CFGOnlyViewerLegacyPass,(all)
CFGPrinterLegacyPass,(all)
CFGViewerLegacyPass,(all)
MemoryDependenceWrapperPass,(all)
DependenceAnalysisWrapperPass,(all)
MemDerefPrinter,(all)
SCEVAAWrapperPass,(all)
IntervalPartition,(all)
DemandedBitsWrapperPass,(all)
PrintBasicBlockPass,(all)
PrintFunctionPassWrapper,(all)
PrintModulePassWrapper,(all)
SafepointIRVerifier,(all)
DominatorTreeWrapperPass,(all)
VerifierLegacyPass,(all)
InstructionCombiningPass,(cfg)
InstructionCombiningPass,DominatorTreeWrapperPass
InstructionCombiningPass,AAResultsWrapperPass
InstructionCombiningPass,BasicAAWrapperPass
InstructionCombiningPass,GlobalsAAWrapperPass
SLPVectorizer,LoopInfoWrapperPass
SLPVectorizer,DominatorTreeWrapperPass
SLPVectorizer,AAResultsWrapperPass
SLPVectorizer,GlobalsAAWrapperPass
SLPVectorizer,(cfg)
LoopVectorize,LoopInfoWrapperPass
LoopVectorize,DominatorTreeWrapperPass
LoopVectorize,BasicAAWrapperPass
LoopVectorize,GlobalsAAWrapperPass
LoadStoreVectorizer,(cfg)
WriteThinLTOBitcode,(all)
PostOrderFunctionAttrsLegacyPass,(cfg)
ReversePostOrderFunctionAttrsLegacyPass,(cfg)
ReversePostOrderFunctionAttrsLegacyPass,CallGraphWrapperPass
CalledValuePropagationLegacyPass,(all)
StripDeadDebugInfo,(all)
StripDebugDeclare,(all)
StripNonDebugSymbols,(all)
StripSymbols,(all)
InternalizeLegacyPass,(cfg)
InternalizeLegacyPass,CallGraphWrapperPass
AggressiveInstCombinerLegacyPass,(cfg)
AggressiveInstCombinerLegacyPass,AAResultsWrapperPass
AggressiveInstCombinerLegacyPass,BasicAAWrapperPass
AggressiveInstCombinerLegacyPass,DominatorTreeWrapperPass
AggressiveInstCombinerLegacyPass,GlobalsAAWrapperPass
StraightLineStrengthReduce,(cfg)
JumpThreading,DominatorTreeWrapperPass
JumpThreading,LazyValueInfoWrapperPass
JumpThreading,GlobalsAAWrapperPass
InstSimplifyLegacyPass,(cfg)
SeparateConstOffsetFromGEP,(cfg)
GVNSinkLegacyPass,GlobalsAAWrapperPass
LegacyLoopSinkPass,(cfg)
LoopSimplifyCFGLegacyPass,DependenceAnalysisWrapperPass
LoopDistributeLegacy,LoopInfoWrapperPass
LoopDistributeLegacy,DominatorTreeWrapperPass
LoopDistributeLegacy,GlobalsAAWrapperPass
SpeculativeExecutionLegacyPass,GlobalsAAWrapperPass
SpeculativeExecutionLegacyPass,(cfg)
SROALegacyPass,GlobalsAAWrapperPass
SROALegacyPass,(cfg)
NewGVNLegacyPass,DominatorTreeWrapperPass
NewGVNLegacyPass,GlobalsAAWrapperPass
LoopInstSimplifyLegacyPass,(cfg)
StructurizeCFG,DominatorTreeWrapperPass
ConstantHoistingLegacyPass,(cfg)
BDCELegacyPass,(cfg)
BDCELegacyPass,GlobalsAAWrapperPass
SCCPLegacyPass,GlobalsAAWrapperPass
SCCPLegacyPass,(cfg)
Float2IntLegacyPass,(cfg)
